0,-1,1,2,-3,-3,3,1,-3,-1,1,-3,1,-1,-4,-3,2,2,-3,-1,-3,4,2,-4,-3,-1,-4,2,-5,-2,-5,3,-3,-1,1,-4,2,-5,3,-2,1,6,3,-5,-6,2,2,3,-4,-2,-6,1,-6,9,-8,-3,5,7,3,0,5,6,3,1,-4,5,-5,4,5,-3,-4,1,0,2,0.21077
-1,-2,-1,2,0,-3,0,0,3,3,1,-1,-1,-3,-2,3,1,-1,-1,-1,-1,-2,1,4,-4,3,0,1,4,1,1,1,2,3,3,1,-2,-5,3,2,3,-4,-2,1,5,1,6,-3,7,-4,0,-6,7,-1,-2,0,-6,4,-7,-3,-4,8,7,-4,5,5,-4,1,1,6,2,1,2,1,0.237062
-2,0,-2,-1,-3,3,0,0,3,2,-2,2,0,-3,0,-2,-2,3,4,2,-2,-3,3,2,1,0,-2,2,-1,4,4,-5,-3,4,-3,-6,-1,-3,3,6,6,-7,-1,7,-2,-5,-3,2,-5,-4,6,-1,6,-7,8,2,2,-2,6,-3,-4,-4,-2,5,-6,-5,4,-4,7,4,5,1,2,1,0.21072
2,-2,0,-2,1,2,0,2,0,-3,1,0,1,-1,-1,-1,0,2,-3,4,3,4,3,0,2,-1,-2,4,-1,0,-2,3,-4,-2,3,-1,-2,4,-2,-5,-3,2,0,-3,4,-2,4,3,-4,4,-3,2,2,-6,8,1,4,-9,-2,3,-2,6,-4,5,-1,0,-1,2,7,-5,2,1,0,1,0.263592
2,-1,-1,-3,0,0,-3,3,-3,1,-2,3,-3,-3,-2,-2,-2,3,-4,-2,3,-2,-1,2,-4,-2,4,1,3,-5,0,-2,4,-3,1,4,1,-1,-1,-4,-2,-2,-2,-4,2,1,-6,-4,5,4,-3,2,5,-3,0,2,-5,2,6,-4,8,1,4,-1,6,3,-6,-2,3,-4,1,-1,2,-2,0.272364
-1,0,1,0,0,2,-1,-3,1,-2,-1,0,-3,0,-3,1,3,-2,-4,2,-3,-1,-3,0,-2,4,2,4,-2,-4,4,1,-2,-3,1,-3,3,1,6,-6,6,1,-6,6,-3,4,6,6,-1,7,-3,-6,-6,6,8,2,-8,-3,-7,-9,-6,5,-6,-7,7,5,1,-1,4,2,-1,1,-2,2,0.20206
-1,0,0,2,-2,0,1,1,2,-2,-2,-3,-3,3,-4,-1,-4,-4,-4,-3,0,-1,2,1,4,-4,-1,1,0,-5,4,-5,1,4,2,-1,2,3,-1,2,-5,1,0,2,-3,5,0,1,-3,3,-3,-7,-3,8,-1,-3,7,-5,-7,-2,-6,-4,-3,4,-3,3,-1,-2,1,4,-3,1,-2,0,0.31056
-1,0,2,3,-3,-2,-2,-1,3,2,-3,1,-3,0,-2,0,2,3,-4,-2,-4,-1,3,3,3,-3,-4,3,-5,-3,5,1,5,-1,2,3,-2,-1,-6,-5,-7,6,-7,-4,3,3,-6,7,5,6,-6,3,0,7,1,-1,-2,-3,-4,-5,9,6,6,4,1,-2,5,-6,2,-5,5,-1,-1,0,0.187974
-2,2,2,-2,1,3,0,1,2,2,-2,-2,2,0,1,-1,2,2,1,-1,-3,4,4,3,2,-1,-2,0,0,1,2,-4,2,2,-1,0,5,5,-4,2,7,-2,0,-1,6,1,-5,-7,5,-6,-6,0,-6,9,6,1,-4,3,-10,6,-7,7,6,3,6,7,-6,7,6,-6,-1,1,-2,1,0.195028
2,-2,1,2,2,3,-2,3,1,0,2,3,2,-4,3,-3,3,-4,-2,4,4,2,1,-1,-2,-2,0,0,0,1,4,5,-4,2,-2,5,2,1,5,-4,-4,-2,-2,4,-3,5,4,3,1,-5,2,-7,-2,-5,7,5,-2,-2,-8,2,3,7,-5,-5,-6,-3,3,5,-2,0,3,1,-1,-2,0.245056
-2,-1,0,2,-1,-3,0,3,1,-3,2,0,0,0,-4,-1,0,-3,-3,-3,0,-1,-4,4,1,3,-3,-3,5,-5,-1,-3,-1,-1,0,-6,3,-2,-2,-3,1,-1,2,-2,-6,7,7,4,-3,6,-6,4,6,2,-2,1,5,-9,-1,4,-7,4,-5,-4,2,4,-6,4,-1,5,4,0,1,-1,0.268204
-2,2,-2,3,2,-1,-2,3,-1,-2,-1,3,2,-3,4,-4,0,-4,-1,-1,-1,3,-4,-2,0,4,1,-2,0,-5,-2,0,-2,-5,-5,-3,-1,4,2,1,4,2,1,-6,3,-1,-2,-1,1,5,1,-3,-8,-9,9,9,5,-3,7,-7,-2,8,3,0,5,1,-4,4,-5,-2,5,0,0,0,0.221676
-1,-2,-2,0,-3,1,2,2,0,-3,-3,-1,3,1,1,0,-3,-4,-4,4,0,3,-3,1,-3,3,4,-4,2,0,-3,-2,-2,2,-4,2,-3,0,4,4,0,1,-3,0,1,-4,6,0,6,-3,0,-1,6,-2,0,2,6,8,-1,3,2,1,6,-2,-1,-7,-7,-4,3,-5,-4,-1,-2,0,0.251854
2,1,1,2,0,-1,3,-3,3,1,0,-1,-2,-2,3,-1,-2,4,0,-1,4,1,1,-2,-2,-4,4,-4,3,2,-2,-5,-1,-3,-1,-5,-5,2,-3,0,2,7,-2,-4,-4,6,5,2,-1,1,3,1,0,4,5,1,9,-6,3,0,-6,1,3,5,0,-5,-2,6,-6,1,1,1,2,-1,0.250602
-2,-2,0,3,-1,-1,-1,-3,-1,3,-2,-1,-1,-4,-1,-2,-4,-3,-3,-4,3,2,-2,1,-2,2,4,2,0,-5,-1,-2,3,1,-1,-5,-1,4,3,-1,-1,-7,-3,-1,2,0,5,-3,-1,-5,-3,2,-4,-3,7,-9,-9,2,-2,6,4,-5,5,5,0,3,4,-7,6,4,-3,1,-1,-2,0.256036
1,2,-1,0,-1,1,0,-1,3,2,0,-3,1,2,1,-2,4,3,4,-1,2,-2,2,-4,-2,2,3,-4,1,1,-1,4,-3,-4,3,3,-4,-1,6,-4,6,5,1,4,2,5,3,-5,6,-2,3,-6,0,-1,-2,-5,-6,-8,-10,4,0,-8,2,4,-6,7,5,-1,-1,0,1,1,-1,0,0.235144
2,-1,0,-2,3,0,2,2,2,-1,-1,-1,-3,-2,1,1,-4,4,-4,-2,0,0,4,-2,-2,3,1,1,2,3,1,5,5,-3,-3,-1,-1,-4,3,5,2,-4,-1,5,4,2,2,-7,-2,0,-6,-1,2,2,9,3,9,-9,3,0,-2,6,-8,-4,-7,2,1,3,5,5,4,0,2,0,0.19286
-2,2,2,3,-3,-1,0,-3,1,0,1,3,-1,4,1,1,-2,-1,4,-3,-1,-1,-3,1,-2,-4,-3,4,-4,1,4,2,1,1,-2,-6,-4,0,6,4,1,-2,3,1,0,2,-4,-6,-2,-5,-1,3,1,7,0,-7,0,1,1,8,5,-4,1,2,5,7,-4,-4,-1,3,5,1,1,-2,0.264782
-1,1,2,1,3,-1,0,-1,-2,3,2,-1,0,-4,-1,2,2,-4,-1,-1,-1,2,-4,2,-1,1,0,3,5,-1,-3,-2,-2,-2,-1,3,2,-3,5,-4,-5,-4,1,7,7,-1,6,7,-4,-4,2,-4,1,1,-1,3,2,-1,-4,-1,4,-1,-8,-7,0,-4,-3,4,6,0,3,1,1,2,0.274798
-2,0,2,-3,2,2,0,-2,-3,0,-3,2,-1,0,0,-2,-4,-3,0,1,0,1,-1,3,2,1,-1,1,-4,4,0,5,0,-1,1,-2,-4,-6,6,3,5,5,-5,5,-7,3,3,1,2,0,4,6,0,-8,5,-7,-7,-3,1,-1,-3,-7,3,3,-5,0,-2,4,-3,-6,5,1,2,2,0.253488
-2,-1,-1,0,3,-1,0,-1,1,3,-1,0,-3,4,-4,-2,4,-4,1,4,-4,0,2,3,2,-4,-2,0,-2,2,-4,-1,-2,0,-3,1,-3,1,-5,-5,4,-3,-7,5,-1,-7,0,-4,-4,2,-4,0,4,1,6,0,0,-1,0,-8,5,-7,1,6,4,-3,5,-6,2,-4,2,-1,-2,-1,0.305774
-1,-2,1,0,-3,1,-3,-2,-3,-1,2,2,1,-3,1,1,3,-1,-4,-4,0,-3,-1,0,4,-2,-3,1,-3,4,-3,-3,1,2,5,2,3,-4,-3,0,7,3,-7,-3,3,7,5,7,5,0,4,-4,-6,-8,4,-8,6,10,-7,-4,-2,-1,5,4,0,-4,4,7,3,2,1,0,2,0,0.184458
0,0,0,-3,1,3,1,1,-1,-1,1,2,0,2,-4,3,4,1,0,0,1,-3,4,2,-3,-3,-4,-2,0,1,-5,-3,-4,-1,-5,-2,1,5,-2,-3,-7,-4,5,4,7,0,-6,0,5,-6,-2,-6,1,-9,9,-5,2,-3,-1,1,6,7,3,1,4,-5,7,3,-2,5,-4,-1,2,-1,0.214288
-2,1,-2,3,-2,1,1,-1,0,3,2,2,2,-3,3,-3,-3,3,-2,-2,1,-3,0,1,0,-4,-3,3,-2,5,-3,1,3,-5,-4,-6,-5,4,-1,-5,0,-6,2,1,3,3,-3,2,-3,-4,1,-7,1,8,-8,9,-7,1,-1,-3,-9,3,5,3,4,7,-6,-2,7,5,3,-1,-2,-1,0.209052
-1,0,-1,0,2,1,-1,0,0,2,2,-2,0,0,3,2,-4,1,2,2,-4,-1,3,3,3,0,-1,4,3,4,-4,5,1,4,3,5,-2,-4,-3,3,1,1,-1,0,-1,-4,7,-1,2,7,3,2,-4,-6,7,-7,5,4,-6,7,-5,5,0,-6,5,-5,-7,-1,-3,-6,-3,-1,-2,2,0.234848
0,-2,-2,-3,2,-3,1,-1,0,0,1,0,-1,-4,-2,-1,1,-3,0,1,3,1,-1,-3,4,0,-3,-2,3,1,-4,3,2,-4,-2,0,2,-6,3,5,-1,-4,-4,-5,7,-6,1,-2,0,-6,3,3,3,-9,6,-8,10,-9,4,-4,9,4,-8,-2,2,4,-4,1,0,-5,4,0,-1,0,0.199324
-2,1,2,-1,-1,-3,-3,2,-3,1,1,0,2,-4,-2,3,4,0,1,-1,1,2,3,4,-1,1,3,-3,-1,1,2,4,-4,0,1,4,3,1,5,-3,1,-1,-5,0,4,1,2,-3,6,-4,4,1,6,9,-9,-2,-1,-7,-6,9,2,-1,-6,0,3,-4,6,2,4,4,0,1,0,-1,0.228472
2,-2,2,3,3,3,-1,-3,3,3,2,1,-2,-4,-1,-3,-3,-3,-1,-1,3,-4,0,2,2,-3,3,0,0,-2,-5,1,-5,-2,4,-3,-6,-3,2,-1,4,2,-3,-7,5,0,1,-1,5,-4,-4,0,-4,7,-7,-8,7,-7,8,-1,-2,3,8,2,-3,-4,-4,6,5,-2,5,1,1,-2,0.213032
-1,0,-1,1,-2,3,0,-2,-2,0,0,-3,1,2,-1,-4,2,-2,1,1,-3,4,-3,3,-1,-3,0,-1,-3,0,-5,-4,-4,-2,1,-4,3,2,3,-6,4,-3,-3,-4,-4,-2,-2,-5,-6,-4,-6,-3,1,3,6,0,7,8,9,4,5,6,6,7,-5,6,-1,-5,6,1,0,1,-1,-1,0.228724
-2,0,1,-1,-2,2,0,-3,-3,2,3,2,0,-2,1,-3,-1,-3,-4,2,-3,-3,-4,4,0,-4,4,0,0,1,5,3,-1,-2,-2,-5,4,3,-1,5,-1,-5,-5,0,-1,-4,0,4,0,6,7,-1,-7,-9,4,-4,0,9,-8,-3,7,3,-6,0,-3,-2,1,7,-1,3,-2,0,-2,-2,0.206042
0,-1,-2,1,1,-2,-2,-3,1,-2,2,-1,-2,-2,-3,3,-2,2,1,1,4,4,-3,-2,-4,-1,4,3,-3,-1,-5,2,-3,0,-1,0,0,-1,-5,6,-2,1,0,4,-7,-2,-1,4,-5,3,-2,-6,4,8,-5,0,-3,1,-9,7,-3,-8,-3,3,4,-3,-6,-5,6,-1,1,-1,-1,1,0.261728
-2,0,-2,-1,3,-1,-1,-3,-3,2,2,0,3,2,2,-1,2,2,0,2,1,4,4,-3,-3,-4,4,2,2,-2,2,-2,-4,-1,5,-3,3,-2,1,6,0,-2,2,2,-4,-2,4,-5,4,1,-3,-5,-5,-5,-5,8,-9,-10,-9,-3,-4,-3,-3,8,-6,-1,1,-6,3,-5,-5,0,2,0,0.21594
0,0,2,-3,2,2,0,1,-1,-1,0,-1,-2,2,2,3,0,4,3,0,0,-2,0,-1,1,2,-1,-3,-3,-5,-5,3,3,-5,3,-5,6,-3,-1,-6,-3,6,5,0,-2,-5,3,3,-3,3,-5,4,-8,-9,4,2,6,-7,-6,-10,2,-7,4,3,4,4,-1,7,7,3,-1,0,2,1,0.209222
1,-1,2,1,2,1,0,0,-1,1,-2,-1,-3,-1,-2,2,1,4,2,4,-1,-3,1,4,-3,2,-2,0,-2,1,-2,-1,-3,-4,5,-1,1,-2,-3,2,-3,-4,-4,-7,5,5,4,4,1,6,-6,2,-2,5,9,5,-9,2,2,7,3,4,2,-6,-7,4,3,5,-7,-2,3,1,1,0,0.21866
2,1,-2,1,2,-2,0,0,-3,3,2,-2,3,1,-4,-1,-2,-3,4,1,-2,4,-3,-4,1,1,-2,-1,3,0,-2,-1,-1,1,-2,2,6,0,6,-3,5,-3,-2,4,-5,5,-5,4,1,4,-6,-5,-6,-1,1,-1,-1,-10,0,9,0,-2,-2,-5,7,1,-4,0,2,-3,-2,1,-1,1,0.226226
-2,-2,1,0,-3,1,-3,-3,1,1,-2,0,-3,3,-2,1,-4,0,0,1,-3,0,2,3,3,1,4,2,5,-4,-1,-3,-1,5,3,2,5,6,1,-3,-2,-5,6,6,-7,2,-5,1,6,0,1,-7,3,8,9,-6,-7,-5,-6,-5,7,7,-5,1,-3,4,7,3,4,0,-1,0,-1,2,0.199238
0,2,0,1,-2,2,1,2,-1,3,-2,3,0,-2,-3,0,-3,3,-2,1,0,2,1,3,2,0,-3,0,-2,-5,3,5,5,3,2,3,-1,-6,-3,5,-4,-7,-4,7,5,7,0,7,-2,-2,-2,-2,1,-3,-8,-5,6,4,-2,0,-9,4,-2,4,-6,1,-4,-6,4,3,-1,0,-1,-2,0.23223
-1,2,-2,3,-2,-3,1,3,1,0,-1,-2,1,2,3,-2,-4,4,4,-2,-4,2,1,2,-1,-2,3,1,-5,5,-3,5,0,-3,-4,-1,1,4,-3,5,3,-4,3,-4,-6,-3,-6,4,1,1,-6,-4,4,-8,9,2,-9,10,7,-6,7,7,2,-8,-5,2,2,6,4,-2,-4,0,1,0,0.187966
2,0,2,0,-1,3,3,3,1,3,-3,-1,3,-4,1,0,3,-2,-1,3,0,-2,1,4,-2,-3,-1,4,-2,-1,-5,3,-2,-4,2,6,6,2,2,4,-1,-1,-2,-1,-1,-1,-1,-1,4,-6,-2,-1,-6,8,2,-1,-6,-10,-5,4,-3,5,5,2,-3,-6,-3,0,-7,-6,2,1,-2,0,0.243768
0,2,-2,3,2,-3,3,1,2,0,-1,-2,-2,2,0,-3,2,1,-3,3,4,1,4,-3,4,-3,1,2,2,5,-4,3,5,-1,0,-3,-4,2,-2,6,-5,6,-3,-5,-7,-1,-1,3,-2,7,1,-7,-6,9,-5,3,5,-5,10,0,-3,-2,-3,-4,-5,-3,-2,4,0,5,-1,1,0,-1,0.202954
-2,-1,-2,-3,1,1,-3,-3,0,3,-3,-2,-3,2,0,1,-1,-3,-1,0,4,-1,4,3,3,-1,0,2,4,2,-5,2,3,-2,2,-2,6,-5,1,4,-1,-1,-3,-7,-5,-7,3,7,-7,-2,-1,-6,-7,-8,-8,7,10,2,-2,7,-7,-2,-5,-2,7,6,-5,7,-7,-1,3,0,2,1,0.18743
-1,-1,-2,-2,-3,1,-1,-3,1,-2,1,-3,1,1,3,4,-3,-2,0,3,4,-1,0,-2,2,-2,-1,0,-1,3,3,1,-2,-4,4,5,2,1,2,-3,4,7,-3,6,-4,-7,-3,-4,-7,-1,7,2,-5,2,-4,2,-8,0,10,-9,-1,-2,0,-3,-6,3,-4,5,7,0,0,0,0,1,0.24402
0,2,1,3,0,-3,2,0,3,2,3,-2,-3,-4,4,-4,2,1,0,3,4,4,1,-3,-4,-4,2,2,5,-4,2,4,0,-2,-1,3,-1,2,-1,0,-3,-4,0,0,-4,-6,-5,0,6,1,0,5,5,9,3,4,-10,-4,10,1,2,-5,-1,-3,-6,3,-1,4,2,1,5,1,1,-1,0.195476
2,2,0,2,-1,2,3,-2,1,-1,0,3,2,2,3,4,-4,3,1,-1,4,3,2,0,-1,2,-3,-4,-2,-5,-5,-4,0,-3,-1,-6,2,-2,-1,3,-6,-2,-5,1,-7,1,-4,-7,1,7,3,3,0,3,0,5,7,-6,-7,-6,-6,-4,4,-7,1,7,0,4,7,-1,2,0,-1,0,0.258894
1,-2,1,-2,-1,2,3,-1,0,2,-2,-3,0,3,4,0,3,-3,-4,-3,4,4,-2,1,0,0,1,1,4,0,-4,-4,5,2,1,0,-5,6,-1,-5,-2,-7,-1,-5,-2,-4,0,-5,6,-1,-1,7,4,6,7,1,4,-5,-3,-2,-7,-2,0,8,2,-3,-7,-2,1,-1,-5,-1,-1,2,0.242884
2,0,-2,1,2,-1,-1,-1,-2,2,-1,3,0,0,-2,1,2,3,3,2,3,1,2,-3,0,-1,-3,-4,-1,-1,1,4,3,-3,-5,0,6,4,1,6,-1,4,6,-2,-1,1,3,-6,-4,-3,4,7,-5,3,-3,-8,3,-10,-1,2,4,1,-1,-8,0,-6,-1,3,-7,-5,5,1,0,0,0.258296
0,2,-1,0,-3,0,0,0,-2,-1,1,0,1,3,2,-4,4,1,0,-3,-1,0,0,2,0,1,0,3,-5,1,4,2,4,-4,-1,1,5,-2,-3,3,5,2,2,-4,2,3,4,-7,-7,-7,2,-6,-1,0,1,6,-10,-7,-2,5,-4,1,-3,0,0,4,-5,0,-4,6,4,1,-1,1,0.257828
2,-2,-2,1,3,-2,0,2,0,2,-3,0,1,3,-1,-2,2,4,-3,-1,-4,-3,-1,-3,3,-4,-2,-4,4,-3,5,-4,-3,0,4,-2,-6,3,2,-1,3,2,1,-5,-4,2,-5,5,-7,-2,3,-1,2,-6,-9,1,9,-4,3,0,1,1,-2,0,-7,-7,-4,-6,7,-6,2,1,2,1,0.252472
-2,1,-2,-3,-2,-3,3,1,3,1,0,-3,-2,-4,-1,2,-1,-4,-3,4,-4,4,-4,-4,3,-1,-2,-4,0,2,3,1,0,4,-1,2,3,3,6,-5,-1,4,-6,1,2,4,-5,4,-2,-5,2,5,2,4,-5,-8,-10,4,-5,9,-9,-3,2,-1,4,-5,-7,1,-4,-2,5,-1,-1,-2,0.18803
